trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
nude,nude,pants,pants,clothing,735,101769,4467,200039,0.007222,0.16454,0.323423,-1.628507,0.046446,nsfw,nudity_nsfw,服饰,裤子,weilin_tagcart.csv,2272.567464,1040.283179
cowgirl position,cowgirl_position,all fours,all_fours,pose_action,75,16456,14410,200039,0.004558,0.005205,0.063269,-3.982368,0.006104,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,1185.423642,1040.168781
cumdrip,cumdrip,straddling,straddling,pose_action,231,12681,23061,200039,0.018216,0.010017,0.158014,-2.661878,0.01882,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,1461.897635,1036.398823
straddling,straddling,cumdrip,cumdrip,other,231,23061,12681,200039,0.010017,0.018216,0.158014,-2.661878,0.01882,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1461.897635,1036.398823
cleavage,cleavage,cum in pussy,cum_in_pussy,body_detail,724,12995,34620,200039,0.055714,0.020913,0.321921,-1.635219,0.051398,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2248.995946,1034.067064
cum in pussy,cum_in_pussy,cleavage,cleavage,body_detail,724,34620,12995,200039,0.020913,0.055714,0.321921,-1.635219,0.046126,nsfw,explicit_nsfw,人物,胸部,weilin_tagcart.csv,2248.995946,1034.067064
nude,nude,serafuku,serafuku,clothing,1006,101769,5241,200039,0.009885,0.191948,0.377297,-1.406229,0.056725,nsfw,nudity_nsfw,服饰,正装,weilin_tagcart.csv,2666.336709,1033.897174
cleft of venus,cleft_of_venus,pov,pov,camera,24,6392,33827,200039,0.003755,0.000709,0.022204,-5.493055,0.0017,nsfw,explicit_nsfw,镜头,镜头角度,danbooru_all.csv,1080.900144,1033.433034
straddling,straddling,full body,full_body,camera,9,23061,9116,200039,0.00039,0.000987,0.008564,-6.867506,0.000548,suggestive,suggestive,镜头,人物构图,danbooru_all.csv,1050.915451,1032.992527
no panties,no_panties,panties,panties,clothing,232,13740,21190,200039,0.016885,0.010949,0.159399,-2.649288,0.018999,nsfw,nudity_nsfw,服饰,上半身服装,danbooru_all.csv,1455.469184,1028.449699
panties,panties,no panties,no_panties,clothing,232,21190,13740,200039,0.010949,0.016885,0.159399,-2.649288,0.018999,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1455.469184,1028.449699
girl on top,girl_on_top,full body,full_body,camera,12,22995,9116,200039,0.000522,0.001316,0.011451,-6.448334,0.000769,nsfw,explicit_nsfw,镜头,人物构图,danbooru_all.csv,1047.907758,1024.045175
breast grab,breast_grab,looking back,looking_back,camera,67,12014,19181,200039,0.005577,0.003493,0.058161,-4.103808,0.005486,suggestive,suggestive,镜头,主角动作,weilin_tagcart.csv,1151.978034,1021.87481
nipples,nipples,pasties,pasties,prop,249,146157,2020,200039,0.001704,0.123267,0.168711,-2.567375,0.020357,nsfw,nudity_nsfw,物品,食物,weilin_tagcart.csv,1475.8979,1019.906903
completely nude,completely_nude,kimono,kimono,clothing,72,57225,4039,200039,0.001258,0.017826,0.062314,-4.004294,0.005963,nsfw,nudity_nsfw,服饰,正装,weilin_tagcart.csv,1155.433565,1015.920193
pussy juice,pussy_juice,eyelashes,eyelashes,body_detail,152,26338,9879,200039,0.005771,0.015386,0.116859,-3.097158,0.01291,nsfw,explicit_nsfw,人物,面部,danbooru_all.csv,1300.711871,1014.474452
pantyhose,pantyhose,upper body,upper_body,camera,15,13718,15184,200039,0.001093,0.000988,0.014406,-6.117234,0.001007,suggestive,suggestive,镜头,镜头,weilin_tagcart.csv,1041.267513,1011.483596
standing sex,standing_sex,pillow,pillow,scene,11,7915,26106,200039,0.00139,0.000421,0.010649,-6.553114,0.000704,nsfw,explicit_nsfw,场景,床上用品,weilin_tagcart.csv,1032.943526,1011.060667
oral,oral,thighhighs,thighhighs,clothing,1180,14930,38675,200039,0.079035,0.030511,0.408796,-1.290547,0.099369,nsfw,explicit_nsfw,服饰,袜子,weilin_tagcart.csv,2886.525877,1008.905062
thighhighs,thighhighs,oral,oral,pose_action,1180,38675,14930,200039,0.030511,0.079035,0.408796,-1.290547,0.062864,suggestive,suggestive,人物,嘴巴,weilin_tagcart.csv,2886.525877,1008.905062
fellatio,fellatio,thighhighs,thighhighs,clothing,1029,13810,38675,200039,0.074511,0.026606,0.385395,-1.37559,0.086626,nsfw,explicit_nsfw,服饰,袜子,weilin_tagcart.csv,2669.988102,1008.559532
thighhighs,thighhighs,fellatio,fellatio,pose_action,1029,38675,13810,200039,0.026606,0.074511,0.385395,-1.37559,0.058129,suggestive,suggestive,表情动作,性爱动作,danbooru_all.csv,2669.988102,1008.559532
cum in mouth,cum_in_mouth,parted lips,parted_lips,body_detail,50,8594,25738,200039,0.005818,0.001943,0.045218,-4.466948,0.00402,nsfw,explicit_nsfw,人物,嘴巴,weilin_tagcart.csv,1105.746239,1008.007156
missionary,missionary,closed mouth,closed_mouth,expression,1267,11420,52693,200039,0.110946,0.024045,0.421184,-1.247476,0.145148,nsfw,explicit_nsfw,人物,嘴巴,weilin_tagcart.csv,3008.183704,1007.824319
penis,penis,yuri,yuri,body_detail,23,84272,2497,200039,0.000273,0.009211,0.021865,-5.515262,0.00166,nsfw,explicit_nsfw,人物,身份,weilin_tagcart.csv,1051.930793,1006.433678
nude,nude,one-piece swimsuit,one-piece_swimsuit,clothing,405,101769,3377,200039,0.00398,0.119929,0.235734,-2.084765,0.030858,nsfw,nudity_nsfw,服饰,泳装,weilin_tagcart.csv,1718.034548,1003.507017
one-piece swimsuit,one-piece_swimsuit,nude,nude,other,405,3377,101769,200039,0.119929,0.00398,0.235734,-2.084765,0.074016,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1718.034548,1003.507017
vaginal,vaginal,wet clothes,wet_clothes,clothing,818,61149,7701,200039,0.013377,0.10622,0.347481,-1.524993,0.050698,nsfw,explicit_nsfw,服饰,上半身服装,danbooru_all.csv,2354.083199,1002.32294
overflow,overflow,upper body,upper_body,camera,33,14058,15184,200039,0.002347,0.002173,0.030926,-5.015052,0.002526,nsfw,explicit_nsfw,镜头,镜头,weilin_tagcart.csv,1067.07528,1002.095827
nude,nude,black dress,black_dress,clothing,1028,101769,5224,200039,0.010101,0.196784,0.386802,-1.370332,0.058334,nsfw,nudity_nsfw,服饰,裙子,danbooru_all.csv,2657.688031,999.320856
doggystyle,doggystyle,upper body,upper_body,camera,2,13200,15184,200039,0.000152,0.000132,0.001996,-8.968593,0.000108,nsfw,explicit_nsfw,镜头,镜头,weilin_tagcart.csv,1001.94862,997.952612
cowgirl position,cowgirl_position,doggystyle,doggystyle,other,45,16456,13200,200039,0.002735,0.003409,0.041441,-4.592802,0.003606,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1085.884253,997.749092
doggystyle,doggystyle,cowgirl position,cowgirl_position,other,45,13200,16456,200039,0.003409,0.002735,0.041441,-4.592802,0.003606,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1085.884253,997.749092
pussy juice,pussy_juice,water,water,scene,547,26338,14665,200039,0.020768,0.0373,0.283294,-1.819629,0.038894,nsfw,explicit_nsfw,环境,水,danbooru_all.csv,1930.857333,991.819067
completely nude,completely_nude,maid,maid,clothing,18,57225,3591,200039,0.000315,0.005013,0.017522,-5.834681,0.001268,nsfw,nudity_nsfw,服饰,正装,weilin_tagcart.csv,1027.274556,991.589954
cowgirl position,cowgirl_position,cowboy shot,cowboy_shot,camera,7,16456,12221,200039,0.000425,0.000573,0.006963,-7.166124,0.000428,nsfw,explicit_nsfw,镜头,镜头,weilin_tagcart.csv,1005.347837,991.396577
topless,topless,long sleeves,long_sleeves,clothing,436,8834,39741,200039,0.049355,0.010971,0.248431,-2.009086,0.032909,nsfw,nudity_nsfw,服饰,手臂,weilin_tagcart.csv,1755.017742,991.333456
vaginal,vaginal,lifted by self,lifted_by_self,pose_action,242,61149,4684,200039,0.003958,0.051665,0.169014,-2.564782,0.020294,nsfw,explicit_nsfw,表情动作,手部动作,weilin_tagcart.csv,1431.830373,988.731866
ass,ass,facial,facial,other,760,49327,9095,200039,0.015407,0.083562,0.338876,-1.56117,0.048908,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2242.707997,980.253786
facial,facial,ass,ass,body_detail,760,9095,49327,200039,0.083562,0.015407,0.338876,-1.56117,0.081738,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2242.707997,980.253786
nude,nude,alternate costume,alternate_costume,clothing,589,101769,3896,200039,0.005788,0.151181,0.297164,-1.750671,0.041267,nsfw,nudity_nsfw,服饰,风格,weilin_tagcart.csv,1982.073616,979.102937
cumdrip,cumdrip,pov,pov,camera,699,12681,33827,200039,0.055122,0.020664,0.325968,-1.617198,0.05122,nsfw,explicit_nsfw,镜头,镜头角度,danbooru_all.csv,2144.38278,974.234358
masturbation,masturbation,penis,penis,body_detail,510,4391,84272,200039,0.116147,0.006052,0.275701,-1.858824,0.086971,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1849.831043,970.438479
penis,penis,masturbation,masturbation,pose_action,510,84272,4391,200039,0.006052,0.116147,0.275701,-1.858824,0.03744,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1849.831043,970.438479
swimsuit,swimsuit,dress,dress,clothing,86,11084,20466,200039,0.007759,0.004202,0.075837,-3.720946,0.007517,suggestive,suggestive,服饰,裙子,weilin_tagcart.csv,1134.004589,968.526609
penis,penis,shiny skin,shiny_skin,body_detail,1312,84272,7166,200039,0.015569,0.183087,0.434599,-1.202244,0.067824,nsfw,explicit_nsfw,人物,皮肤,weilin_tagcart.csv,3018.877079,965.07055
completely nude,completely_nude,strap slip,strap_slip,clothing,17,57225,3489,200039,0.000297,0.004872,0.017032,-5.875571,0.001219,nsfw,nudity_nsfw,服饰,上衣,weilin_tagcart.csv,998.095496,964.385048
nude,nude,white bikini,white_bikini,clothing,251,101769,2795,200039,0.002466,0.089803,0.176519,-2.502106,0.021329,nsfw,nudity_nsfw,服饰,上半身服装,danbooru_all.csv,1421.944496,964.250726
white bikini,white_bikini,nude,nude,other,251,2795,101769,200039,0.089803,0.002466,0.176519,-2.502106,0.038308,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1421.944496,964.250726
black thighhighs,black_thighhighs,upper body,upper_body,camera,0,12676,15184,200039,0,0,0,0,0,suggestive,suggestive,镜头,镜头,weilin_tagcart.csv,962.174296,962.174296
licking penis,licking_penis,vaginal,vaginal,pose_action,50,3467,61149,200039,0.014422,0.000818,0.047178,-4.405735,0.004194,nsfw,explicit_nsfw,人物,性器官,danbooru_all.csv,1059.811252,962.170162
vaginal,vaginal,licking penis,licking_penis,pose_action,50,61149,3467,200039,0.000818,0.014422,0.047178,-4.405735,0.004194,nsfw,explicit_nsfw,表情动作,其他动作,weilin_tagcart.csv,1059.811252,962.170162
vaginal,vaginal,groin,groin,body_detail,38,61149,3390,200039,0.000621,0.011209,0.03667,-4.769262,0.003083,nsfw,explicit_nsfw,人物,腹部,weilin_tagcart.csv,1036.273477,961.666931
spread legs,spread_legs,leaning forward,leaning_forward,pose_action,50,60233,3518,200039,0.00083,0.014213,0.047201,-4.405028,0.004197,suggestive,suggestive,表情动作,基础动作,weilin_tagcart.csv,1059.291908,961.651975
paizuri,paizuri,vaginal,vaginal,pose_action,109,3817,61149,200039,0.028556,0.001783,0.093418,-3.420159,0.009695,nsfw,explicit_nsfw,人物,性器官,danbooru_all.csv,1166.801139,958.983679
vaginal,vaginal,paizuri,paizuri,pose_action,109,61149,3817,200039,0.001783,0.028556,0.093418,-3.420159,0.009695,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1166.801139,958.983679
nude,nude,shorts,shorts,clothing,312,101769,2982,200039,0.003066,0.104628,0.205658,-2.281679,0.025788,nsfw,nudity_nsfw,服饰,裤子,weilin_tagcart.csv,1517.079959,957.245331
oral,oral,on back,on_back,pose_action,1076,14930,35800,200039,0.07207,0.030056,0.402702,-1.312214,0.088108,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,2671.94897,953.256646
paizuri,paizuri,spread legs,spread_legs,pose_action,103,3817,60233,200039,0.026985,0.00171,0.089618,-3.480068,0.0092,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,1149.322687,952.553341
spread legs,spread_legs,paizuri,paizuri,pose_action,103,60233,3817,200039,0.00171,0.026985,0.089618,-3.480068,0.0092,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1149.322687,952.553341
penis,penis,presenting,presenting,pose_action,37,84272,2432,200039,0.000439,0.015214,0.036113,-4.791318,0.003019,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,1024.547733,951.883933
presenting,presenting,penis,penis,body_detail,37,2432,84272,200039,0.015214,0.000439,0.036113,-4.791318,0.003019,nsfw,review_context,NSFW,R18词,weilin_tagcart.csv,1024.547733,951.883933
bikini,bikini,indoors,indoors,scene,1049,7611,69155,200039,0.137827,0.015169,0.39868,-1.326696,0.166215,suggestive,suggestive,场景,室内,danbooru_all.csv,2631.180445,951.396156
panties,panties,water,water,scene,338,21190,14665,200039,0.015951,0.023048,0.21758,-2.200384,0.02765,suggestive,suggestive,环境,水,danbooru_all.csv,1553.453827,950.995761
nude,nude,strap slip,strap_slip,clothing,479,101769,3489,200039,0.004707,0.137289,0.269857,-1.889733,0.036286,nsfw,nudity_nsfw,服饰,上衣,weilin_tagcart.csv,1775.014077,946.275587
girl on top,girl_on_top,bent over,bent_over,pose_action,24,22995,8630,200039,0.001044,0.002781,0.024193,-5.369293,0.001853,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,992.040802,944.621423
ass,ass,flat chest,flat_chest,body_detail,1228,49327,11662,200039,0.024895,0.105299,0.427027,-1.227601,0.066034,suggestive,suggestive,人物,胸部,weilin_tagcart.csv,2875.696609,944.085724
completely nude,completely_nude,belt,belt,clothing,69,57225,3761,200039,0.001206,0.018346,0.064132,-3.962812,0.006085,nsfw,nudity_nsfw,服饰,小装饰,weilin_tagcart.csv,1075.906323,942.33143
completely nude,completely_nude,one-piece swimsuit,one-piece_swimsuit,clothing,13,57225,3377,200039,0.000227,0.00385,0.013457,-6.215523,0.000916,nsfw,nudity_nsfw,服饰,泳装,weilin_tagcart.csv,966.055744,940.230682
one-piece swimsuit,one-piece_swimsuit,completely nude,completely_nude,other,13,3377,57225,200039,0.00385,0.000227,0.013457,-6.215523,0.000916,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,966.055744,940.230682
straddling,straddling,bent over,bent_over,pose_action,28,23061,8630,200039,0.001214,0.003244,0.028144,-5.151036,0.002223,suggestive,suggestive,表情动作,基础动作,weilin_tagcart.csv,994.888147,939.676175
ass,ass,no bra,no_bra,clothing,1391,49327,12549,200039,0.0282,0.110845,0.449519,-1.153546,0.070719,suggestive,suggestive,服饰,上半身服装,danbooru_all.csv,3094.419203,937.700031
no bra,no_bra,ass,ass,body_detail,1391,12549,49327,200039,0.110845,0.0282,0.449519,-1.153546,0.156778,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,3094.419203,937.700031
standing sex,standing_sex,bed sheet,bed_sheet,scene,1,7915,23749,200039,0.000126,0.000042,0.001064,-9.876031,0.000055,nsfw,explicit_nsfw,场景,床上用品,weilin_tagcart.csv,939.683437,937.684501
girl on top,girl_on_top,wet,wet,body_detail,1125,22995,23630,200039,0.048924,0.047609,0.414162,-1.271734,0.063263,nsfw,explicit_nsfw,人物,皮肤,danbooru_all.csv,2716.329566,932.261615
group sex,group_sex,closed mouth,closed_mouth,expression,642,7620,52693,200039,0.084252,0.012184,0.319847,-1.644548,0.075838,nsfw,explicit_nsfw,人物,嘴巴,weilin_tagcart.csv,2007.211894,928.553443
completely nude,completely_nude,necktie,necktie,clothing,107,57225,3958,200039,0.00187,0.027034,0.094501,-3.403525,0.009772,nsfw,nudity_nsfw,服饰,领口,weilin_tagcart.csv,1132.261959,928.373577
cowgirl position,cowgirl_position,sex from behind,sex_from_behind,pose_action,880,16456,28679,200039,0.053476,0.030684,0.373,-1.422752,0.05883,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2359.248067,927.488242
sex from behind,sex_from_behind,cowgirl position,cowgirl_position,other,880,28679,16456,200039,0.030684,0.053476,0.373,-1.422752,0.055006,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2359.248067,927.488242
cum in mouth,cum_in_mouth,stomach,stomach,body_detail,419,8594,38586,200039,0.048755,0.010859,0.252757,-1.984176,0.033269,nsfw,explicit_nsfw,人物,腹部,danbooru_all.csv,1657.717165,925.622445
licking penis,licking_penis,thighs,thighs,body_detail,75,3467,61745,200039,0.021633,0.001215,0.070084,-3.834766,0.006761,nsfw,explicit_nsfw,人物,腿部,danbooru_all.csv,1070.140898,925.397215
penis,penis,leaning forward,leaning_forward,pose_action,311,84272,3518,200039,0.00369,0.088403,0.209844,-2.252613,0.026299,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,1482.055479,925.316869
cum on breasts,cum_on_breasts,loli,loli,body_detail,303,9456,31024,200039,0.032043,0.009767,0.20661,-2.275016,0.02578,nsfw,explicit_nsfw,人物,年龄,weilin_tagcart.csv,1466.528747,923.131679
cumdrip,cumdrip,girl on top,girl_on_top,other,298,12681,22995,200039,0.0235,0.012959,0.20443,-2.290323,0.025437,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1457.713721,922.633776
girl on top,girl_on_top,cumdrip,cumdrip,other,298,22995,12681,200039,0.012959,0.0235,0.20443,-2.290323,0.025437,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1457.713721,922.633776
cameltoe,cameltoe,cum,cum,other,209,4912,53214,200039,0.042549,0.003928,0.159947,-2.644332,0.018717,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1306.681037,922.110006
cum,cum,cameltoe,cameltoe,body_detail,209,53214,4912,200039,0.003928,0.042549,0.159947,-2.644332,0.018717,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1306.681037,922.110006
breasts apart,breasts_apart,sex from behind,sex_from_behind,pose_action,243,9500,28679,200039,0.025579,0.008473,0.178416,-2.486685,0.021438,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1361.986913,919.341955
sex from behind,sex_from_behind,breasts apart,breasts_apart,body_detail,243,28679,9500,200039,0.008473,0.025579,0.178416,-2.486685,0.021438,nsfw,explicit_nsfw,人物,胸部,weilin_tagcart.csv,1361.986913,919.341955
pantyhose,pantyhose,barefoot,barefoot,pose_action,68,13718,15267,200039,0.004957,0.004454,0.06495,-3.944527,0.006145,suggestive,suggestive,表情动作,腿部动作,weilin_tagcart.csv,1046.959373,915.375972
licking penis,licking_penis,spread legs,spread_legs,pose_action,68,3467,60233,200039,0.019613,0.001129,0.065138,-3.940354,0.006162,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,1043.935488,912.36488
spread legs,spread_legs,licking penis,licking_penis,pose_action,68,60233,3467,200039,0.001129,0.019613,0.065138,-3.940354,0.006162,suggestive,suggestive,表情动作,其他动作,weilin_tagcart.csv,1043.935488,912.36488
pussy,pussy,hand on another's head,hand_on_another's_head,pose_action,652,105972,3777,200039,0.006153,0.172624,0.325855,-1.617699,0.04596,nsfw,explicit_nsfw,表情动作,手部动作(放在某地),weilin_tagcart.csv,2000.891046,909.348392
bow panties,bow_panties,nude,nude,other,196,2496,101769,200039,0.078526,0.001926,0.154351,-2.695709,0.028045,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1269.829503,908.082384
nude,nude,bow panties,bow_panties,clothing,196,101769,2496,200039,0.001926,0.078526,0.154351,-2.695709,0.017857,nsfw,nudity_nsfw,服饰,正装,danbooru_all.csv,1269.829503,908.082384
cleft of venus,cleft_of_venus,sex from behind,sex_from_behind,pose_action,6,6392,28679,200039,0.000939,0.000209,0.006547,-7.254875,0.000394,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,916.402142,904.441426
sex from behind,sex_from_behind,cleft of venus,cleft_of_venus,other,6,28679,6392,200039,0.000209,0.000939,0.006547,-7.254875,0.000394,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,916.402142,904.441426
fingering,fingering,vaginal,vaginal,pose_action,319,4817,61149,200039,0.066224,0.005217,0.21664,-2.206626,0.036114,nsfw,explicit_nsfw,人物,性器官,danbooru_all.csv,1472.48653,903.594802
vaginal,vaginal,fingering,fingering,pose_action,319,61149,4817,200039,0.005217,0.066224,0.21664,-2.206626,0.027266,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1472.48653,903.594802
ass focus,ass_focus,collarbone,collarbone,body_detail,3,2963,61282,200039,0.001012,0.000049,0.003305,-8.241134,0.000184,suggestive,suggestive,人物,肩部,danbooru_all.csv,907.715825,901.72574
girl on top,girl_on_top,standing sex,standing_sex,pose_action,5,22995,7915,200039,0.000217,0.000632,0.005495,-7.507556,0.000323,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,909.849704,899.877181
standing sex,standing_sex,girl on top,girl_on_top,other,5,7915,22995,200039,0.000632,0.000217,0.005495,-7.507556,0.000323,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,909.849704,899.877181
fellatio,fellatio,looking back,looking_back,camera,233,13810,19181,200039,0.016872,0.012147,0.175957,-2.506708,0.020988,nsfw,explicit_nsfw,镜头,主角动作,weilin_tagcart.csv,1324.189833,899.187731
standing sex,standing_sex,straddling,straddling,pose_action,7,7915,23061,200039,0.000884,0.000304,0.007672,-7.026264,0.000472,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,912.461145,898.514846
straddling,straddling,standing sex,standing_sex,pose_action,7,23061,7915,200039,0.000304,0.000884,0.007672,-7.026264,0.000472,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,912.461145,898.514846
breasts apart,breasts_apart,from behind,from_behind,camera,17,9500,19621,200039,0.001789,0.000866,0.018244,-5.776438,0.001306,suggestive,suggestive,镜头,镜头角度,weilin_tagcart.csv,931.815796,898.125943
swimsuit,swimsuit,long sleeves,long_sleeves,clothing,797,11084,39741,200039,0.071905,0.020055,0.361941,-1.466174,0.075653,suggestive,suggestive,服饰,手臂,weilin_tagcart.csv,2202.016827,896.483741
anus,anus,cum in mouth,cum_in_mouth,expression,300,33352,8594,200039,0.008995,0.034908,0.209372,-2.255859,0.026081,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1432.856033,895.667647
cum in mouth,cum_in_mouth,anus,anus,body_detail,300,8594,33352,200039,0.034908,0.008995,0.209372,-2.255859,0.026081,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1432.856033,895.667647
completely nude,completely_nude,naked shirt,naked_shirt,clothing,51,57225,3476,200039,0.000891,0.014672,0.051288,-4.285223,0.004578,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,994.376597,894.992306
naked shirt,naked_shirt,completely nude,completely_nude,other,51,3476,57225,200039,0.014672,0.000891,0.051288,-4.285223,0.004578,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,994.376597,894.992306
breast press,breast_press,spread legs,spread_legs,pose_action,165,3978,60233,200039,0.041478,0.002739,0.137752,-2.85985,0.015449,suggestive,suggestive,表情动作,腿部动作,weilin_tagcart.csv,1197.800799,890.529954
spread legs,spread_legs,breast press,breast_press,body_detail,165,60233,3978,200039,0.002739,0.041478,0.137752,-2.85985,0.015449,suggestive,suggestive,表情动作,性爱动作,danbooru_all.csv,1197.800799,890.529954
after fellatio,after_fellatio,pussy,pussy,body_detail,76,1954,105972,200039,0.038895,0.000717,0.07342,-3.767689,0.007102,nsfw,explicit_nsfw,人物,性器官,danbooru_all.csv,1035.144587,888.724484
pussy,pussy,after fellatio,after_fellatio,pose_action,76,105972,1954,200039,0.000717,0.038895,0.07342,-3.767689,0.007102,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1035.144587,888.724484
covered nipples,covered_nipples,sex,sex,pose_action,1022,6885,73101,200039,0.148439,0.013981,0.406198,-1.299743,0.181711,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,2516.011303,887.146163
sex,sex,covered nipples,covered_nipples,body_detail,1022,73101,6885,200039,0.013981,0.148439,0.406198,-1.299743,0.061208,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2516.011303,887.146163
spread legs,spread_legs,kneeling,kneeling,pose_action,175,60233,4021,200039,0.002905,0.043522,0.144539,-2.790472,0.016385,suggestive,suggestive,表情动作,腿部动作,weilin_tagcart.csv,1210.748369,886.042642
facial,facial,thighs,thighs,body_detail,1232,9095,61745,200039,0.135459,0.019953,0.438855,-1.188184,0.183936,nsfw,explicit_nsfw,人物,腿部,danbooru_all.csv,2807.30645,883.975603
nude,nude,white bra,white_bra,clothing,346,101769,2939,200039,0.0034,0.117727,0.231407,-2.111498,0.029521,nsfw,nudity_nsfw,服饰,上半身服装,danbooru_all.csv,1495.20389,883.270563
white bra,white_bra,nude,nude,other,346,2939,101769,200039,0.117727,0.0034,0.231407,-2.111498,0.069509,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,1495.20389,883.270563
cum on tongue,cum_on_tongue,sex,sex,pose_action,117,3023,73101,200039,0.038703,0.001601,0.105911,-3.239082,0.011141,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1104.706197,883.097727
sex,sex,cum on tongue,cum_on_tongue,other,117,73101,3023,200039,0.001601,0.038703,0.105911,-3.239082,0.011141,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,1104.706197,883.097727
breasts out,breasts_out,from behind,from_behind,camera,536,18295,19621,200039,0.029298,0.027318,0.298694,-1.743262,0.040879,nsfw,nudity_nsfw,镜头,镜头角度,weilin_tagcart.csv,1794.481051,882.580819
sex,sex,shiny skin,shiny_skin,body_detail,1099,73101,7166,200039,0.015034,0.153363,0.419674,-1.252658,0.063894,nsfw,explicit_nsfw,人物,皮肤,weilin_tagcart.csv,2618.698184,881.920102
presenting,presenting,sex,sex,pose_action,4,2432,73101,200039,0.001645,0.000055,0.004501,-7.795609,0.000258,nsfw,review_context,NSFW,R18词,weilin_tagcart.csv,888.734857,880.75286
sex,sex,presenting,presenting,pose_action,4,73101,2432,200039,0.000055,0.001645,0.004501,-7.795609,0.000258,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,888.734857,880.75286
completely nude,completely_nude,official alternate costume,official_alternate_costume,clothing,160,57225,4114,200039,0.002796,0.038892,0.135952,-2.878834,0.015162,nsfw,nudity_nsfw,服饰,衣服套装,danbooru_all.csv,1176.888757,878.641025
straddling,straddling,wet,wet,body_detail,1178,23061,23630,200039,0.051082,0.049852,0.432432,-1.209454,0.067921,suggestive,suggestive,人物,皮肤,danbooru_all.csv,2724.125945,877.531174
ass focus,ass_focus,breasts,breasts,body_detail,1092,2963,175719,200039,0.368545,0.006214,0.419553,-1.253075,0.470395,suggestive,suggestive,人物,胸部,danbooru_all.csv,2602.769445,876.921435
breasts,breasts,ass focus,ass_focus,camera,1092,175719,2963,200039,0.006214,0.368545,0.419553,-1.253075,0.063818,suggestive,suggestive,镜头,特写镜头,weilin_tagcart.csv,2602.769445,876.921435
