trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
completely nude,completely_nude,clothes pull,clothes_pull,clothing,35,57225,8684,200039,0.000612,0.00403,0.014089,-6.149297,0.001165,nsfw,nudity_nsfw,表情动作,手部动作,weilin_tagcart.csv,2484.225076,2414.718188
completely nude,completely_nude,white panties,white_panties,clothing,244,57225,10063,200039,0.004264,0.024247,0.08476,-3.560472,0.010192,nsfw,nudity_nsfw,服饰,上半身服装,danbooru_all.csv,2878.714526,2411.395979
white panties,white_panties,completely nude,completely_nude,other,244,10063,57225,200039,0.024247,0.004264,0.08476,-3.560472,0.010192,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2878.714526,2411.395979
clothing aside,clothing_aside,completely nude,completely_nude,other,38,8639,57225,200039,0.004399,0.000664,0.015376,-6.023157,0.001293,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2471.351961,2395.936257
completely nude,completely_nude,clothing aside,clothing_aside,pose_action,38,57225,8639,200039,0.000664,0.004399,0.015376,-6.023157,0.001293,nsfw,nudity_nsfw,表情动作,基础动作,danbooru_all.csv,2471.351961,2395.936257
spread legs,spread_legs,bent over,bent_over,pose_action,106,60233,8630,200039,0.00176,0.012283,0.040792,-4.615569,0.004211,suggestive,suggestive,表情动作,基础动作,weilin_tagcart.csv,2598.547233,2390.871188
sex from behind,sex_from_behind,stomach,stomach,body_detail,1900,28679,38586,200039,0.066251,0.049241,0.343459,-1.541791,0.074658,nsfw,explicit_nsfw,人物,腹部,danbooru_all.csv,5531.960738,2384.532253
nude,nude,collared shirt,collared_shirt,clothing,1196,101769,8752,200039,0.011752,0.136654,0.268611,-1.896412,0.041384,nsfw,nudity_nsfw,服饰,上衣,weilin_tagcart.csv,4452.543194,2381.801391
completely nude,completely_nude,collared shirt,collared_shirt,clothing,72,57225,8752,200039,0.001258,0.008227,0.028758,-5.119908,0.002752,nsfw,nudity_nsfw,服饰,上衣,weilin_tagcart.csv,2503.677783,2361.748337
bikini,bikini,nude,nude,other,850,7611,101769,200039,0.11168,0.008352,0.219521,-2.187568,0.071943,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,3872.064242,2358.657221
nude,nude,bikini,bikini,clothing,850,101769,7611,200039,0.008352,0.11168,0.219521,-2.187568,0.032209,nsfw,nudity_nsfw,服饰,泳装,weilin_tagcart.csv,3872.064242,2358.657221
after sex,after_sex,vaginal,vaginal,pose_action,674,11705,61149,200039,0.057582,0.011022,0.188371,-2.408352,0.030751,nsfw,explicit_nsfw,人物,性器官,danbooru_all.csv,3578.047506,2357.009487
vaginal,vaginal,after sex,after_sex,pose_action,674,61149,11705,200039,0.011022,0.057582,0.188371,-2.408352,0.026702,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,3578.047506,2357.009487
completely nude,completely_nude,topless,topless,other,96,57225,8834,200039,0.001678,0.010867,0.037988,-4.718325,0.003847,nsfw,nudity_nsfw,,,,2527.135459,2338.782275
